PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Is indexable page,Canonical URL,Canonical URL code,Canonical URL patch,Canonical URL patch status,No. of canonical inlinks,Content hash,No. of pages having the same content,Title patch,Title patch status,Meta description,Meta description patch,Meta description patch status,H1
23,https://tranvas.com/id/solutions/second-brain,Second Brain — Your Digital Knowledge Map | Tranvas,text/html; charset=utf-8,false,200,0,0,true,,,,,0,18115316873939392322,2,,,"The all-in-one productivity OS for growth, clarity, and control.",,,
29,https://tranvas.com/solutions/second-brain,Second Brain — Your Digital Knowledge Map | Tranvas,text/html; charset=utf-8,false,200,0,1,true,,,,,0,18115316873939392322,2,,,"The all-in-one productivity OS for growth, clarity, and control.",,,
23,https://tranvas.com/id/solutions/career-accelerator,Career Tracker — Focus on Professional Growth | Tranvas,text/html; charset=utf-8,false,200,0,0,true,,,,,0,18067172238090648537,2,,,"The all-in-one productivity OS for growth, clarity, and control.",,,
29,https://tranvas.com/solutions/career-accelerator,Career Tracker — Focus on Professional Growth | Tranvas,text/html; charset=utf-8,false,200,0,1,true,,,,,0,18067172238090648537,2,,,"The all-in-one productivity OS for growth, clarity, and control.",,,
29,https://tranvas.com/resources/stories,Success Stories — User Transformations | Tranvas,text/html; charset=utf-8,false,200,0,1,true,,,,,0,17522686718900503626,2,,,"The all-in-one productivity OS for growth, clarity, and control.",,,
23,https://tranvas.com/id/resources/stories,Success Stories — User Transformations | Tranvas,text/html; charset=utf-8,false,200,0,0,true,,,,,0,17522686718900503626,2,,,"The all-in-one productivity OS for growth, clarity, and control.",,,
23,https://tranvas.com/id/resources/help,Help Center — Find Solutions | Tranvas,text/html; charset=utf-8,false,200,0,0,true,,,,,0,16960356439459223174,2,,,"The all-in-one productivity OS for growth, clarity, and control.",,,
29,https://tranvas.com/resources/help,Help Center — Find Solutions | Tranvas,text/html; charset=utf-8,false,200,0,1,true,,,,,0,16960356439459223174,2,,,"The all-in-one productivity OS for growth, clarity, and control.",,,
23,https://tranvas.com/id/resources/changelog,Changelog — What's New | Tranvas,text/html; charset=utf-8,false,200,0,0,true,,,,,0,16720307151820481420,2,,,"The all-in-one productivity OS for growth, clarity, and control.",,,
29,https://tranvas.com/resources/changelog,Changelog — What's New | Tranvas,text/html; charset=utf-8,false,200,0,1,true,,,,,0,16720307151820481420,2,,,"The all-in-one productivity OS for growth, clarity, and control.",,,
