PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Meta description,Meta description patch,Meta description patch status,Meta description length,No. of meta descriptions,Is indexable page
40,https://tranvas.com/id/login,Log In — Welcome Back | Tranvas,text/html; charset=utf-8,false,200,0,0,"The all-in-one productivity OS for growth, clarity, and control.",,,64,1,true
31,https://tranvas.com/,Tranvas | The Unified Life Operating System,text/html; charset=utf-8,false,200,0,0,"The all-in-one productivity OS for growth, clarity, and control.",,,64,1,true
29,https://tranvas.com/resources/stories,Success Stories — User Transformations | Tranvas,text/html; charset=utf-8,false,200,0,1,"The all-in-one productivity OS for growth, clarity, and control.",,,64,1,true
29,https://tranvas.com/features/habit,Habit Tracker — Build Consistency Every Day | Tranvas,text/html; charset=utf-8,false,200,0,1,"The all-in-one productivity OS for growth, clarity, and control.",,,64,1,true
29,https://tranvas.com/solutions/mental-clarity,Mental Health — Journaling & Mindfulness | Tranvas,text/html; charset=utf-8,false,200,0,1,"The all-in-one productivity OS for growth, clarity, and control.",,,64,1,true
29,https://tranvas.com/features/job,Job Tracker — Manage Career Growth | Tranvas,text/html; charset=utf-8,false,200,0,1,"The all-in-one productivity OS for growth, clarity, and control.",,,64,1,true
29,https://tranvas.com/solutions/freelancer,For Freelancers — Scale Your Workflow | Tranvas,text/html; charset=utf-8,false,200,0,1,"The all-in-one productivity OS for growth, clarity, and control.",,,64,1,true
29,https://tranvas.com/pricing,Pricing & Plans — Choose Your Journey | Tranvas,text/html; charset=utf-8,false,200,0,1,"The all-in-one productivity OS for growth, clarity, and control.",,,64,1,true
29,https://www.tranvas.com/,Tranvas | The Unified Life Operating System,text/html; charset=utf-8,false,200,0,0,"The all-in-one productivity OS for growth, clarity, and control.",,,64,1,true
29,https://tranvas.com/login,Log In — Welcome Back | Tranvas,text/html; charset=utf-8,false,200,0,1,"The all-in-one productivity OS for growth, clarity, and control.",,,64,1,true
29,https://tranvas.com/resources/community,Community — Connect with Users | Tranvas,text/html; charset=utf-8,false,200,0,1,"The all-in-one productivity OS for growth, clarity, and control.",,,64,1,true
29,https://tranvas.com/solutions/second-brain,Second Brain — Your Digital Knowledge Map | Tranvas,text/html; charset=utf-8,false,200,0,1,"The all-in-one productivity OS for growth, clarity, and control.",,,64,1,true
29,https://tranvas.com/features/journal,Digital Journal — Capture Your Thoughts | Tranvas,text/html; charset=utf-8,false,200,0,1,"The all-in-one productivity OS for growth, clarity, and control.",,,64,1,true
29,https://tranvas.com/solutions/personalgrowth,Personal Growth — Master Your Self-System | Tranvas,text/html; charset=utf-8,false,200,0,1,"The all-in-one productivity OS for growth, clarity, and control.",,,64,1,true
29,https://tranvas.com/register,Sign Up — Start Your Journey | Tranvas,text/html; charset=utf-8,false,200,0,1,"The all-in-one productivity OS for growth, clarity, and control.",,,64,1,true
29,https://tranvas.com/resources/changelog,Changelog — What's New | Tranvas,text/html; charset=utf-8,false,200,0,1,"The all-in-one productivity OS for growth, clarity, and control.",,,64,1,true
