PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is valid X (Twitter) card,X (Twitter) card attributes,X (Twitter) card values,Depth,Is indexable page,No. of all inlinks
40,https://tranvas.com/id/login,Log In — Welcome Back | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,7
31,https://tranvas.com/,Tranvas | The Unified Life Operating System,text/html; charset=utf-8,false,200,0,,,,0,true,4
29,https://tranvas.com/resources/stories,Success Stories — User Transformations | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/features/habit,Habit Tracker — Build Consistency Every Day | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/solutions/mental-clarity,Mental Health — Journaling & Mindfulness | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/features/job,Job Tracker — Manage Career Growth | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/solutions/freelancer,For Freelancers — Scale Your Workflow | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/pricing,Pricing & Plans — Choose Your Journey | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://www.tranvas.com/,Tranvas | The Unified Life Operating System,text/html; charset=utf-8,false,200,0,,,,0,true,3
29,https://tranvas.com/login,Log In — Welcome Back | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/resources/community,Community — Connect with Users | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/solutions/second-brain,Second Brain — Your Digital Knowledge Map | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/features/journal,Digital Journal — Capture Your Thoughts | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/solutions/personalgrowth,Personal Growth — Master Your Self-System | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/register,Sign Up — Start Your Journey | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/resources/changelog,Changelog — What's New | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/solutions/deep-work,Deep Work — Uninterrupted Focus | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/features/neural-os,Neural OS AI — Powered by Gemini Brain | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/about,About Us — Our Mission | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/resources/blog,Blog — Productivity Insights | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/resources/ai-trust,AI Transparency — Our Commitment | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/solutions/atomic-system,"Atomic Habits — Small Steps, Big Results | Tranvas",text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/solutions/student,For Students — Optimize Your Learning | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/resources/help,Help Center — Find Solutions | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/resources/guide,User Guide — Master the OS | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
29,https://tranvas.com/solutions/career-accelerator,Career Tracker — Focus on Professional Growth | Tranvas,text/html; charset=utf-8,false,200,0,,,,1,true,3
23,https://tranvas.com/id/resources/changelog,Changelog — What's New | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://tranvas.com/id/resources/ai-trust,AI Transparency — Our Commitment | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://tranvas.com/id/solutions/career-accelerator,Career Tracker — Focus on Professional Growth | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://tranvas.com/id/resources/help,Help Center — Find Solutions | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://tranvas.com/id/features/journal,Digital Journal — Capture Your Thoughts | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://tranvas.com/id/resources/community,Community — Connect with Users | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://tranvas.com/id/solutions/student,For Students — Optimize Your Learning | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://tranvas.com/id/resources/stories,Success Stories — User Transformations | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://tranvas.com/id/solutions/second-brain,Second Brain — Your Digital Knowledge Map | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://tranvas.com/id/solutions/atomic-system,"Atomic Habits — Small Steps, Big Results | Tranvas",text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://tranvas.com/id/features/neural-os,Neural OS AI — Powered by Gemini Brain | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://tranvas.com/id/solutions/deep-work,Deep Work — Uninterrupted Focus | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://tranvas.com/id/solutions/freelancer,For Freelancers — Scale Your Workflow | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://tranvas.com/id/register,Sign Up — Start Your Journey | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://tranvas.com/id/solutions/personalgrowth,Personal Growth — Master Your Self-System | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://tranvas.com/id/features/job,Job Tracker — Manage Career Growth | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://tranvas.com/id/about,About Us — Our Mission | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://www.tranvas.com/id,Tranvas | The Unified Life Operating System,text/html; charset=utf-8,false,200,0,,,,1,true,1
23,https://tranvas.com/id/features/habit,Habit Tracker — Build Consistency Every Day | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://tranvas.com/id/solutions/mental-clarity,Mental Health — Journaling & Mindfulness | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://tranvas.com/id/resources/guide,User Guide — Master the OS | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://tranvas.com/id,Tranvas | The Unified Life Operating System,text/html; charset=utf-8,false,200,0,,,,0,true,1
23,https://tranvas.com/id/pricing,Pricing & Plans — Choose Your Journey | Tranvas,text/html; charset=utf-8,false,200,0,,,,0,true,1
